,lead
427,2-2875
428,1-8188
429,7-0943
430,6-0540
431,8-2050
432,3-1505
433,8-8778
434,2-8282
435,6-2735
436,3-1931
437,1-0006
438,7-3110
439,8-6389
440,5-7112
441,6-5447
442,4-3951
443,4-0179
444,6-5846
445,6-3312
446,2-0854
447,4-2569
448,5-8484
449,3-7497
450,7-5554
451,5-8490
452,1-9268
453,2-3900
454,1-9040
455,1-7386
456,4-2323
457,8-3671
458,4-9129
459,7-6422
460,7-0877
461,5-5130
462,2-9552
463,8-7613
464,6-5913
465,3-0396
466,3-5275
467,7-4278
468,1-1003
469,8-6092
470,5-4870
471,3-2787
472,3-1833
473,5-9803
474,1-9560
475,1-0015
476,5-3142
477,1-7145
478,6-8427
479,1-5574
480,8-4285
481,8-3749
482,2-3579
483,2-4922
484,4-3136
485,3-7013
486,3-9049
487,3-2444
488,8-7747
489,7-5802
490,5-0711
491,3-1826
492,1-1278
493,4-3441
494,1-2998
495,1-7515
496,1-4092
497,5-9090
498,7-9532
499,1-3288
500,6-0445
501,7-8842
502,4-1924
503,7-1577
504,2-3614
505,3-0685
506,5-8877
507,6-3269
508,6-8466
509,4-0960
510,1-2212
511,7-0432
512,1-8144
513,1-0628
514,3-8907
515,6-8589
516,2-7137
517,5-0146
518,8-3205
519,7-2148
520,5-3423
521,7-6250
522,3-1531
523,8-8158
524,5-9683
525,5-5135
526,2-3493
527,4-6924
528,1-1499
529,5-7222
530,5-5332
531,2-9340
532,8-3751
533,3-5634
534,1-0084
535,5-5011
536,4-3527
537,5-3473
538,6-6876
539,4-5011
540,8-5663
541,8-7348
542,6-4734
543,1-0768
544,8-2792
545,1-2723
546,4-0143
547,6-3437
548,3-0631
549,4-5296
550,2-1510
551,4-3440
552,3-8398
553,1-7295
554,7-6435
555,4-8409
556,5-6820
557,4-6713
558,4-8590
559,6-6923
560,7-4280
561,4-9910
562,4-9518
563,2-2814
564,1-9531
565,3-9941
566,1-8112
567,1-5330
568,1-9574
569,1-3205
570,2-0869
571,5-6077
572,2-1911
573,4-6811
574,6-5256
575,2-3371
576,6-8420
577,3-5535
578,6-5293
579,4-2224
580,5-7925
581,8-0915
582,4-1602
583,4-7172
584,2-1762
585,1-8966
586,8-2965
587,3-1413
588,3-3583
589,4-7545
590,3-1293
591,3-5582
592,2-1159
593,4-7571
594,4-9472
595,7-6228
596,5-3121
597,3-6028
598,6-0643
599,4-3985
600,2-6902
601,4-9618
602,5-6823
603,1-4262
604,1-6497
605,6-5970
606,4-6308
607,8-7982
608,2-3616
609,2-9327
610,8-1655
611,5-7716
612,8-8058
613,6-0079
614,2-5131
615,6-3142
616,5-5638
617,7-2161
618,5-2070
619,5-9167
620,3-7107
621,3-5417
622,2-2723
623,7-2899
624,3-3378
625,6-9705
626,5-1559
627,1-3443
628,6-7996
629,6-4616
630,7-4200
631,3-3523
632,4-9847
633,2-6854
634,5-6929
635,4-0654
636,2-9081
637,2-0902
638,4-2296
639,8-9203
640,8-6497
641,5-6670
642,7-2508
643,4-1198
644,4-1044
645,1-8124
646,4-0568
647,2-5110
648,2-0612
649,4-6068
650,2-8105
651,4-6597
652,2-5459
653,2-0790
654,5-4342
655,2-0816
656,6-3111
657,2-4703
658,3-8048
659,6-0739
660,3-2967
661,3-1751
662,3-8792
663,6-9574
664,7-1081
665,8-2562
666,7-8739
667,6-3823
668,6-0729
669,2-5420
670,3-5679
671,4-2392
672,1-7489
673,6-2129
674,7-3270
675,3-4543
676,6-8554
677,1-8333
678,7-4744
679,5-8801
680,4-8563
681,3-6547
682,4-0049
683,6-0716
684,8-7079
685,1-5888
686,3-1924
687,4-2571
688,6-4275
689,4-8202
690,5-4174
691,5-9133
692,2-7607
693,1-2694
694,8-8637
695,3-3064
696,5-9734
697,2-5112
698,8-3377
699,6-4972
700,2-0658
701,3-6905
702,4-1983
703,7-3194
704,6-9883
705,7-5465
706,7-0093
707,6-4383
708,8-6503
709,2-8384
710,2-1061
711,6-0400
712,1-8272
713,8-9903
714,4-5094
715,6-4090
716,5-0384
717,2-8050
718,4-6374
719,3-8809
720,3-5807
721,6-4342
722,8-1944
723,3-4931
724,2-5706
725,7-0229
726,4-7438
727,6-1039
728,8-0183
729,1-1323
730,6-1684
731,7-2969
732,7-3610
733,7-1874
734,4-2566
735,4-7449
736,4-9377
737,4-4276
738,3-3268
739,2-3731
740,1-9968
741,6-7757
742,7-2025
743,6-0021
744,2-4321
745,3-4260
746,5-6917
747,4-2431
748,3-5267
749,8-3678
750,8-2829
751,3-2250
752,3-9398
753,2-1446
754,8-6676
755,5-9186
756,3-8206
757,7-7926
758,7-0056
759,7-2440
760,6-5556
761,6-3536
762,7-5577
763,8-4952
764,7-8145
765,6-1434
766,2-2554
767,1-7918
768,1-2979
769,3-7583
770,3-3167
771,8-1678
772,6-8719
773,2-8272
774,5-3929
775,1-5314
776,4-9302
777,7-3308
778,1-8525
779,6-3322
780,4-5996
781,6-0252
782,3-0211
783,4-3444
784,3-4312
785,4-3291
786,6-5908
787,4-2614
788,3-7763
789,5-9185
790,2-0146
791,8-8025
792,8-9205
793,5-4118
794,5-6305
795,5-6847
796,6-3340
797,5-2979
798,1-1234
799,5-5894
800,2-0252
801,7-3366
802,1-8262
803,4-4317
804,7-1628
805,3-5070
806,5-9125
807,6-7330
808,7-9373
809,7-0961
810,8-8080
811,1-8381
812,3-6412
813,4-7625
814,6-9243
815,8-3386
816,3-9802
817,3-6987
818,7-9956
819,1-9682
820,6-0986
821,3-0968
822,1-6616
823,5-0518
824,7-9377
825,3-9229
826,7-4952
827,7-8590
828,2-5533
829,4-9834
830,8-5843
831,1-3338
832,7-7067
833,7-4326
834,3-3149
835,1-8755
836,7-5438
837,5-6753
838,3-5971
839,1-6946
840,2-8038
841,5-5083
842,3-2932
843,1-9667
844,1-9214
845,6-5375
846,6-5860
847,4-8667
848,6-9826
849,7-1500
850,5-6658
851,5-8734
852,8-0646
853,8-0779
854,3-3021
855,2-8982
856,7-0025
857,3-6813
858,6-9698
859,1-1277
860,1-5154
861,5-1023
862,7-4592
863,3-5079
864,7-3463
865,4-9956
866,4-7281
867,7-2659
868,8-5268
869,3-5790
870,2-9339
871,3-6387
872,4-1943
873,2-8800
874,1-0459
875,1-1130
876,6-4688
877,4-3755
878,4-9301
879,1-8427
880,7-6857
881,1-0566
882,8-6145
883,6-2665
884,7-7015
885,2-1757
886,2-3118
887,3-7973
888,5-5325
889,1-6244
890,2-7870
891,3-2144
892,4-2603
893,6-0338
894,7-1689
895,2-7749
896,4-9210
897,6-8285
898,5-7546
899,3-7395
900,5-5113
901,6-2064
902,1-8329
903,3-7858
904,8-1907
905,7-5853
906,5-2844
907,6-1640
908,3-8490
909,4-0555
910,3-7073
911,6-3163
912,2-1610
913,3-0621
914,4-7152
915,1-8217
916,7-0118
917,5-3304
918,6-1415
919,8-0050
920,1-8059
921,2-6659
922,7-2870
923,7-1073
924,3-6399
925,7-4003
926,3-6842
927,5-4895
928,5-6168
929,1-1055
930,1-4752
931,5-9259
932,8-8866
933,3-9936
934,1-9126
935,1-2727
936,1-7663
937,2-8980
938,2-2213
939,2-1300
940,8-5428
941,5-3699
942,8-5553
943,5-5303
944,3-8238
945,6-3394
946,2-0493
947,6-1425
948,2-5026
949,1-3326
950,1-2244
951,7-2306
952,1-5550
953,5-8340
954,6-2347
955,6-9329
956,8-5952
957,5-0483
958,1-7077
959,1-9621
960,6-4136
961,6-0246
962,1-5677
963,3-1792
964,2-0714
965,2-3960
966,5-3014
967,8-4890
968,6-9299
969,8-8696
970,8-2723
971,8-9598
972,7-7620
973,6-7333
974,7-7576
975,3-2165
976,4-9795
977,8-4186
978,5-5111
979,8-3515
980,3-2857
981,1-7654
982,7-8197
983,2-3997
984,3-1445
985,7-7105
986,7-3629
987,3-4367
988,6-6769
989,5-1102
990,3-2280
991,2-9790
992,8-2675
993,3-4139
994,4-0351
995,7-8411
996,7-0565
997,3-3446
998,3-9763
999,8-4086
1000,4-4316
1001,2-8051
1002,8-0791
1003,3-2481
1004,7-3599
1005,6-4109
1006,1-3580
1007,4-3019
1008,4-6532
1009,4-6321
1010,6-4763
1011,2-9453
1012,6-6487
1013,2-8496
1014,5-1339
1015,3-0634
1016,6-1823
1017,4-9690
1018,5-5220
1019,4-1977
1020,8-5273
1021,4-1316
1022,2-1697
1023,8-1785
1024,4-2207
1025,2-1570
1026,6-5830
1027,4-7509
1028,7-7083
1029,7-6209
1030,3-1412
1031,6-8712
1032,4-3753
1033,6-0591
1034,5-3138
1035,7-8332
1036,6-1482
1037,4-5523
1038,4-4100
1039,2-1622
1040,8-1884
1041,3-4212
1042,1-1905
1043,6-6668
1044,2-6601
1045,8-1915
1046,6-2081
1047,5-0961
1048,1-9686
1049,2-2170
1050,3-7655
1051,6-5833
1052,8-9370
1053,7-2780
1054,8-9675
1055,8-5208
1056,2-3407
1057,3-9064
1058,4-5489
1059,4-1643
1060,6-4186
1061,5-2868
1062,1-4527
1063,3-0134
1064,1-5284
1065,5-9445
1066,1-4579
1067,7-4329
1068,6-2932
1069,3-6381
1070,6-6604
1071,6-5334
1072,3-6653
1073,4-1155
1074,2-9329
1075,8-3469
1076,8-0052
1077,3-8520
1078,4-3962
1079,8-7718
1080,2-0753
1081,6-4293
1082,2-1824
1083,6-5395
1084,4-5084
1085,4-5201
1086,7-4307
1087,6-9619
1088,1-1264
1089,5-5232
1090,1-9553
1091,7-0636
1092,1-0615
1093,3-2920
1094,1-2555
1095,7-4494
1096,1-6993
1097,7-2437
1098,1-0580
1099,8-0349
1100,2-3897
1101,5-5564
1102,2-9086
1103,5-1179
1104,1-9726
1105,4-7850
1106,8-4034
1107,4-0426
1108,4-9226
1109,6-6928
1110,1-4020
1111,1-9006
1112,1-7087
1113,6-8345
1114,2-8094
1115,6-4405
1116,4-4229
1117,2-5248
1118,8-5050
1119,4-3033
1120,4-1039
1121,6-2422
1122,3-8974
1123,2-1872
1124,3-6870
1125,7-3440
1126,4-1847
1127,1-3574
1128,1-6639
1129,3-3118
1130,8-7531
1131,2-2474
1132,1-3759
1133,5-9876
1134,1-8843
1135,1-8924
1136,5-1137
1137,8-0707
1138,4-8212
1139,1-5096
1140,2-3877
1141,7-3509
1142,6-8848
1143,6-6439
1144,4-2203
1145,3-5137
1146,2-3830
1147,7-3998
1148,3-9118
1149,1-4658
1150,1-2942
1151,5-0206
1152,7-9121
1153,5-3676
1154,1-4402
1155,5-8257
1156,8-6781
1157,8-4725
1158,3-5378
1159,5-6594
1160,5-5896
1161,7-4771
1162,1-5398
1163,2-7145
1164,1-5635
1165,5-9149
1166,6-7582
1167,2-4920
1168,3-2907
1169,6-1023
1170,7-0895
1171,1-4962
1172,1-2094
1173,4-2716
1174,4-7294
1175,5-8806
1176,6-4263
1177,1-9149
1178,7-3193
1179,2-9996
1180,1-8034
1181,2-3798
1182,4-8433
1183,7-5557
1184,3-5309
1185,5-5233
1186,1-1379
1187,7-1657
1188,3-5596
1189,4-8046
1190,2-4685
1191,3-7316
1192,8-9546
1193,3-5293
1194,1-1172
1195,4-8969
1196,5-5378
1197,7-0964
1198,5-1336
1199,4-2946
1200,1-4710
1201,4-5887
1202,8-7883
1203,7-2083
1204,6-8482
1205,8-1048
1206,8-3237
1207,5-1487
1208,3-8723
1209,6-2062
1210,2-5580
1211,4-2681
1212,7-2872
1213,3-5533
1214,3-7245
1215,8-0106
1216,6-4596
1217,1-0784
1218,7-5303
1219,5-8667
1220,3-1549
1221,3-3973
1222,1-3617
1223,1-7552
1224,4-4616
1225,8-1381
1226,2-5832
1227,7-0168
1228,8-3333
1229,3-6572
1230,5-8305
1231,3-1920
1232,7-5739
1233,5-4316
1234,1-9728
1235,1-2525
1236,6-6043
1237,1-7130
1238,6-2700
1239,2-5404
1240,1-2157
1241,4-4618
1242,3-1255
1243,1-6065
1244,3-0165
1245,7-9028
1246,6-9650
1247,5-3077
1248,7-1178
1249,6-9819
1250,2-5099
1251,7-8867
1252,4-1651
1253,1-1089
1254,4-7934
1255,8-3144
1256,8-2308
1257,7-7656
1258,2-9799
1259,7-6993
1260,2-4538
1261,5-2251
1262,6-5897
1263,8-8378
1264,7-7868
1265,6-5197
1266,3-3130
1267,6-5381
1268,8-3360
1269,8-1644
1270,4-4435
1271,7-5372
1272,5-4693
1273,6-1843
1274,1-2070
1275,5-5311
1276,4-9967
1277,1-2284
1278,5-4667
1279,6-1955
1280,4-7124
1281,1-2929
1282,6-7072
1283,5-4207
1284,8-4011
1285,8-6753
1286,4-8227
1287,5-2477
1288,4-8772
1289,7-6046
1290,8-2402
1291,6-6499
1292,2-8732
1293,7-7393
1294,5-3829
1295,3-7373
1296,4-4506
1297,1-4084
1298,8-9221
1299,2-3135
1300,1-1598
1301,6-4444
1302,6-5117
1303,4-2905
1304,3-9543
1305,3-9140
1306,5-4880
1307,7-0517
1308,6-3886
1309,2-4914
1310,3-2242
1311,8-0187
1312,1-3560
1313,6-6540
1314,6-9500
1315,2-6851
1316,5-5396
1317,5-1684
1318,5-2800
1319,2-0722
1320,3-8102
1321,8-6110
1322,1-0110
1323,4-8932
1324,7-7225
1325,6-5709
1326,4-8865
1327,1-6858
1328,1-7963
1329,6-7676
1330,4-4175
1331,1-8164
1332,6-1998
1333,3-1756
1334,7-6633
1335,2-5029
1336,2-9335
1337,5-9810
1338,8-3170
1339,6-1631
1340,5-2126
1341,5-8218
1342,3-3918
1343,4-0146
1344,4-2152
1345,3-7493
1346,2-5511
1347,1-5767
1348,7-1669
1349,5-6269
1350,3-2352
1351,2-6337
1352,1-1694
1353,7-6515
1354,1-7916
1355,4-6072
1356,6-1119
1357,6-5739
1358,6-1286
1359,7-6541
1360,5-0614
1361,3-7796
1362,4-0163
1363,2-8353
1364,8-1534
1365,5-1159
1366,7-6678
1367,3-7187
1368,8-5062
1369,1-6975
1370,7-1485
1371,1-6898
1372,6-1551
1373,4-1444
1374,2-5660
1375,6-0622
1376,6-8844
1377,2-6260
1378,5-5147
1379,8-2094
1380,4-4431
1381,8-4908
1382,3-9375
1383,3-1216
1384,2-2666
1385,1-5103
1386,8-4445
1387,5-1917
1388,1-0901
1389,1-1710
1390,2-5602
1391,6-8638
1392,6-3670
1393,1-8166
1394,4-8413
1395,5-9898
1396,4-6156
1397,1-3670
1398,7-9740
1399,4-8377
1400,1-5380
1401,8-6877
1402,4-2848
1403,6-5093
1404,8-8705
1405,5-6912
1406,6-1530
1407,7-6517
1408,5-9777
1409,7-5285
1410,8-6689
1411,2-8875
1412,6-5589
1413,5-7865
1414,3-1091
1415,8-2830
1416,8-3310
1417,3-3442
1418,5-8097
1419,8-3010
1420,3-4633
1421,5-3352
1422,3-2773
1423,3-5105
1424,8-3065
1425,8-2200
1426,3-1523
1427,1-4452
1428,1-7492
1429,4-1861
1430,5-1106
1431,3-9355
1432,2-8161
1433,2-0700
1434,6-1889
1435,2-7661
1436,5-0912
1437,1-8408
1438,2-4632
1439,5-1967
1440,5-8413
1441,3-7831
1442,2-3501
1443,3-0318
1444,2-4885
1445,4-0434
1446,4-6159
1447,8-2915
1448,5-7617
1449,4-8699
1450,1-5005
1451,3-8597
1452,4-6074
1453,2-5043
1454,2-6826
1455,4-4385
1456,5-0610
1457,1-8116
1458,6-3243
1459,8-2926
1460,6-6896
1461,6-5730
1462,2-6672
1463,7-9646
1464,7-7858
1465,3-7602
1466,6-0433
1467,7-1008
1468,4-5839
1469,4-9828
1470,1-9451
1471,6-9601
1472,7-2315
1473,3-2090
1474,2-1368
1475,2-4673
1476,6-1737
1477,7-3598
1478,4-9461
1479,4-0870
1480,4-7270
1481,8-2820
1482,2-4961
1483,2-4446
1484,7-2407
1485,6-0094
1486,7-5750
1487,8-6132
1488,1-5223
1489,1-7882
1490,4-7990
1491,5-0352
1492,1-8510
1493,2-8748
1494,3-4041
1495,2-1651
1496,4-2621
1497,1-7111
1498,2-2693
1499,6-6073
1500,5-9952
1501,7-9589
1502,3-0831
1503,5-6026
1504,3-6372
1505,8-9569
1506,2-0633
1507,3-1421
1508,6-4487
1509,7-1196
1510,8-9959
1511,5-5580
1512,8-8020
1513,6-2695
1514,3-0095
1515,2-6304
1516,1-5676
1517,7-3510
1518,5-9211
1519,4-6271
1520,6-3410
1521,4-1856
1522,5-5800
1523,5-2090
1524,7-0542
1525,3-9328
1526,8-2325
1527,2-8808
1528,4-1877
1529,3-0993
1530,7-8116
1531,8-3263
1532,5-0556
1533,1-6160
1534,1-9326
1535,5-5425
1536,1-1703
1537,8-8488
1538,6-9374
1539,5-1802
1540,4-0756
1541,1-2897
1542,8-0937
1543,2-6400
1544,5-2318
1545,1-6310
1546,3-4412
1547,7-5271
1548,3-2551
1549,7-0288
1550,3-5638
1551,7-0724
1552,1-6137
1553,2-6881
1554,1-0022
1555,8-7481
1556,2-6477
1557,8-3995
1558,3-4289
1559,8-4321
1560,6-9349
1561,1-2062
1562,8-6774
1563,7-2535
1564,7-4614
1565,5-1526
1566,4-4829
1567,2-3711
1568,3-8042
1569,7-8167
1570,1-1852
1571,7-9379
1572,3-9090
1573,5-9533
1574,1-1556
1575,8-5357
1576,5-9760
1577,5-0835
1578,8-0759
1579,5-6651
1580,1-3188
1581,7-0000
1582,7-1740
1583,1-1294
1584,4-3059
1585,5-5722
1586,4-4874
1587,6-7774
1588,4-0477
1589,3-4171
1590,6-3929
1591,3-9204
1592,4-9225
1593,3-0853
1594,1-0553
1595,2-7092
1596,3-5708
1597,3-2733
1598,5-2159
1599,5-0501
1600,6-5729
1601,4-0978
1602,1-0358
1603,7-6346
1604,6-0687
1605,7-2430
1606,6-0131
1607,1-1360
1608,5-5519
1609,4-3177
1610,6-7934
1611,6-8651
1612,3-8470
1613,4-0018
1614,8-8294
1615,6-9418
1616,2-9372
1617,8-0296
1618,4-8061
1619,6-6114
1620,4-2952
1621,4-5661
1622,1-9284
1623,7-5639
1624,6-5013
1625,7-6327
1626,1-8555
1627,3-1857
1628,1-3053
1629,2-8290
1630,1-1019
1631,2-5994
1632,2-5759
1633,6-6505
1634,4-8641
1635,7-4389
1636,7-6539
1637,8-5598
1638,6-1244
1639,4-0940
1640,1-8374
1641,4-5034
1642,2-8685
1643,2-7188
1644,1-9704
1645,8-0935
1646,5-8813
1647,5-7996
1648,4-8043
1649,3-4602
1650,1-3165
1651,6-6852
1652,3-7467
1653,5-7515
1654,7-0428
1655,2-4765
1656,3-8514
1657,7-7344
1658,3-3462
1659,3-2553
1660,1-9322
1661,3-3038
1662,5-4055
1663,3-0977
1664,1-9618
1665,5-9304
1666,7-4114
1667,2-4558
1668,5-7511
1669,1-5813
1670,6-8705
1671,5-2463
1672,2-0336
1673,3-8472
1674,4-9076
1675,4-0859
1676,1-9932
1677,5-2461
1678,3-1188
1679,8-7834
1680,5-1169
1681,7-7527
1682,3-3151
1683,4-2134
1684,8-0090
1685,8-9157
1686,5-4480
1687,5-1430
1688,6-3053
1689,7-7115
1690,7-1379
1691,7-6398
1692,3-7282
1693,5-2053
1694,7-3111
1695,3-2089
1696,7-2525
1697,3-8039
1698,4-6166
1699,7-2565
1700,8-8990
1701,4-6529
1702,3-2847
1703,8-4296
1704,8-1971
1705,8-8561
1706,7-0454
1707,2-0882
1708,7-9836
1709,7-5900
1710,1-4655
1711,8-8845
1712,6-9614
1713,4-3203
1714,1-7331
1715,6-0900
1716,4-0533
1717,1-1977
1718,3-4148
1719,1-4629
1720,2-5510
1721,5-4510
1722,7-3667
1723,6-3640
1724,7-3103
1725,4-3148
1726,1-5341
1727,6-1013
1728,3-1539
1729,2-8927
1730,6-7025
1731,8-0531
1732,7-8675
1733,7-4271
1734,7-0502
1735,7-9217
1736,3-7994
1737,6-0196
1738,3-0390
1739,7-9988
1740,6-5172
1741,5-9424
1742,5-3090
1743,6-1940
1744,8-0633
1745,4-8122
1746,4-5334
1747,5-0691
1748,6-0965
1749,2-2938
1750,8-1637
1751,7-9102
1752,4-0309
1753,5-0559
1754,2-5187
1755,7-1526
1756,4-7259
1757,7-6452
1758,4-0138
1759,8-3477
1760,8-9374
1761,7-4055
1762,3-6294
1763,1-5602
1764,3-3684
1765,7-2500
1766,4-7283
1767,3-8240
1768,2-3159
1769,1-5902
1770,8-5169
1771,2-7378
1772,4-9595
1773,4-4605
1774,5-9486
1775,2-8142
1776,5-6778
1777,2-2153
1778,2-8782
1779,3-7527
1780,2-6079
1781,1-8342
1782,7-9394
1783,7-0123
1784,1-1622
1785,8-7024
1786,5-9380
1787,6-0652
1788,8-2344
1789,1-2067
1790,6-6394
1791,4-8055
1792,3-5416
1793,4-2965
1794,8-0385
1795,1-5858
1796,4-4074
1797,1-2872
1798,4-3091
1799,1-3439
1800,2-5284
1801,8-8753
1802,8-7584
1803,8-4577
1804,7-5499
1805,3-6899
1806,2-7502
1807,2-2284
1808,4-5350
1809,7-4086
1810,4-4881
1811,6-0678
1812,1-7538
1813,3-4482
1814,5-1090
1815,1-8776
1816,4-5291
1817,8-4192
1818,2-5576
1819,7-6463
1820,7-3564
1821,1-3143
1822,3-8882
1823,4-6513
1824,4-7419
1825,8-3388
1826,3-0803
1827,2-9553
1828,1-7618
1829,2-0537
1830,4-7151
1831,3-8309
1832,1-9850
1833,1-1229
1834,8-4236
1835,1-5382
1836,3-2968
1837,7-8449
1838,7-5212
1839,2-4768
1840,4-6053
1841,5-6146
1842,6-7209
1843,7-5796
1844,2-1354
1845,4-9640
1846,6-0337
1847,8-0258
1848,6-4123
1849,8-1879
1850,1-8050
1851,8-6143
1852,2-0989
1853,4-4625
1854,3-3284
1855,2-8929
1856,2-7016
1857,7-6598
1858,8-0344
1859,8-4106
1860,7-3079
1861,1-2992
1862,8-9600
1863,5-6136
1864,8-0970
1865,3-7809
1866,7-2983
1867,1-0514
1868,3-2164
1869,2-6331
1870,8-4258
1871,6-7446
1872,8-7845
1873,4-9542
