,lead
566,7-3191
567,3-7654
568,6-3229
569,3-9432
570,8-3666
571,8-9114
572,1-4409
573,8-4303
574,2-3112
575,4-2285
576,7-7229
577,7-9419
578,7-0787
579,5-9065
580,8-8631
581,7-6932
582,7-3752
583,3-3629
584,1-3802
585,2-6859
586,6-5209
587,5-7384
588,6-1636
589,5-9147
590,6-5320
591,6-9304
592,1-4185
593,2-9135
594,2-4235
595,3-1741
596,6-6319
597,8-4881
598,7-7788
599,6-9760
600,2-7088
601,3-5541
602,7-3416
603,3-9838
604,8-1021
605,2-1817
606,5-5222
607,4-6080
608,2-1870
609,2-0101
610,6-7801
611,5-7332
612,2-6488
613,2-8134
614,4-2385
615,2-3350
616,8-2280
617,2-4017
618,4-5454
619,3-0930
620,8-0658
621,5-3519
622,4-8998
623,3-4159
624,1-6936
625,5-3727
626,8-9051
627,5-9202
628,5-7580
629,2-4270
630,5-9285
631,5-3557
632,2-3808
633,8-5286
634,5-2211
635,7-1488
636,8-3516
637,3-3868
638,5-7426
639,6-0527
640,8-0522
641,4-9076
642,8-7137
643,3-5645
644,3-5246
645,6-8299
646,2-8020
647,6-6700
648,5-2215
649,7-1869
650,1-2568
651,1-4348
652,7-4018
653,5-2891
654,5-6835
655,3-7344
656,7-8920
657,6-0548
658,6-7543
659,6-6979
660,7-2821
661,2-2035
662,3-0991
663,7-1976
664,2-0549
665,8-2040
666,5-4964
667,3-4566
668,2-4995
669,8-0020
670,2-6741
671,6-6261
672,4-7166
673,1-7318
674,3-2148
675,3-3041
676,7-0000
677,6-1556
678,1-2016
679,3-1236
680,8-5092
681,4-6893
682,8-0807
683,6-9026
684,5-7577
685,2-4426
686,2-3003
687,1-5331
688,3-0533
689,2-2861
690,4-5419
691,7-6707
692,4-4120
693,5-0863
694,2-9447
695,4-4442
696,5-7518
697,2-2045
698,4-4183
699,5-5249
700,8-9717
701,5-4188
702,3-5728
703,4-9882
704,7-3600
705,8-6080
706,5-3657
707,6-1928
708,8-6848
709,3-4058
710,3-6806
711,6-9969
712,5-0965
713,2-5051
714,5-0347
715,3-4368
716,6-5110
717,3-4783
718,7-2195
719,1-9862
720,7-5115
721,7-3136
722,4-9514
723,2-9726
724,5-2016
725,3-7126
726,8-6997
727,5-7677
728,3-7186
729,6-9959
730,5-6732
731,7-4034
732,1-7990
733,2-1745
734,8-0629
735,8-3153
736,8-9270
737,2-0727
738,7-4156
739,1-1215
740,3-6607
741,6-2014
742,7-2557
743,3-8073
744,4-4896
745,4-0499
746,6-6935
747,2-1495
748,6-4997
749,4-1072
750,6-9236
751,6-6154
752,3-2670
753,8-1628
754,4-0804
755,8-5556
756,3-5437
757,6-7998
758,8-1559
759,5-6454
760,7-3757
761,4-4855
762,7-8534
763,3-7093
764,2-1538
765,8-5061
766,7-0518
767,3-7694
768,4-6376
769,4-1278
770,6-4506
771,4-7090
772,1-1783
773,3-9104
774,5-4488
775,3-7834
776,2-0238
777,5-9336
778,2-9730
779,5-2533
780,5-0646
781,2-5036
782,3-5874
783,5-9078
784,5-3669
785,7-8340
786,2-0658
787,4-1193
788,6-9388
789,8-6055
790,8-4365
791,4-3154
792,4-0807
793,6-5060
794,5-6733
795,5-3547
796,8-3414
797,6-3188
798,5-8413
799,8-6935
800,6-2428
801,4-3223
802,2-2741
803,6-8763
804,2-5633
805,1-5958
806,4-4151
807,6-1657
808,5-9938
809,3-4083
810,8-0738
811,7-8683
812,5-8066
813,2-5393
814,7-7991
815,7-9699
816,4-8430
817,5-1206
818,7-7247
819,4-1774
820,7-1769
821,6-9593
822,1-7776
823,4-4972
824,6-6403
825,5-9612
826,3-3973
827,3-8496
828,6-7077
829,8-3724
830,5-9654
831,3-2270
832,6-3807
833,4-2738
834,7-5298
835,7-8977
836,7-8110
837,8-4687
838,3-8804
839,8-8289
840,6-6729
841,4-2571
842,6-3211
843,8-1715
844,1-4762
845,3-2269
846,3-4103
847,1-8972
848,1-6751
849,1-1292
850,2-7592
851,6-7893
852,1-9980
853,3-6807
854,4-6128
855,3-2912
856,3-5908
857,5-5052
858,6-1195
859,5-2046
860,2-2633
861,6-6069
862,8-0729
863,7-7465
864,5-3210
865,2-2215
866,3-9287
867,6-4045
868,2-5357
869,2-7880
870,6-2191
871,1-0795
872,4-5786
873,4-7154
874,2-2051
875,4-2621
876,3-9153
877,6-3254
878,8-5487
879,8-0714
880,1-5317
881,6-5833
882,5-5603
883,8-7868
884,4-1549
885,7-1917
886,2-5334
887,7-7822
888,8-0049
889,5-6589
890,1-6274
891,4-6012
892,3-9992
893,2-5749
894,2-7766
895,2-7948
896,6-3553
897,7-5449
898,4-4275
899,7-9417
900,1-9482
901,6-1727
902,1-4206
903,7-3029
904,7-2757
905,5-9735
906,4-6328
907,4-5176
908,6-4883
909,1-2185
910,1-8299
911,2-5169
912,2-9863
913,3-3890
914,4-8443
915,4-9871
916,8-9532
917,1-1631
918,5-5269
919,4-1538
920,4-2131
921,3-2100
922,2-3661
923,8-7329
924,5-3414
925,8-5034
926,4-5950
927,2-5795
928,3-3117
929,5-7205
930,5-8791
931,4-2628
932,1-9232
933,2-2605
934,4-1217
935,5-8747
936,8-0246
937,7-1711
938,3-2705
939,5-9421
940,2-0687
941,7-3814
942,6-7999
943,3-6955
944,8-2417
945,3-0872
946,5-0478
947,1-2045
948,5-7409
949,6-6682
950,2-6829
951,4-5198
952,7-1809
953,3-6788
954,7-0256
955,7-0247
956,2-9685
957,3-8695
958,3-8681
959,8-8864
960,8-0610
961,4-3197
962,1-4983
963,6-0296
964,5-8067
965,8-3628
966,8-2969
967,5-2026
968,2-5322
969,3-2368
970,2-8329
971,5-0579
972,8-1520
973,4-3075
974,6-6678
975,4-3535
976,4-2419
977,2-2525
978,1-8123
979,3-0971
980,4-3440
981,6-6963
982,3-2067
983,1-9832
984,7-7153
985,1-1155
986,6-0082
987,3-1570
988,7-4585
989,4-2559
990,1-9467
991,6-0653
992,1-4990
993,5-9396
994,1-6485
995,4-3207
996,7-3736
997,3-7612
998,4-6420
999,7-5394
1000,6-8944
1001,2-6972
1002,6-9805
1003,7-2484
1004,5-0595
1005,8-4682
1006,7-1111
1007,4-9525
1008,4-8885
1009,2-9514
1010,7-7921
1011,2-2791
1012,1-2596
1013,8-1346
1014,5-8439
1015,3-1258
1016,7-3740
1017,8-7533
1018,7-5149
1019,4-8256
1020,4-3536
1021,6-9291
1022,4-0430
1023,7-9160
1024,5-1938
1025,7-9784
1026,5-5836
1027,3-4714
1028,1-3646
1029,7-2574
1030,1-2484
1031,5-1384
1032,1-8142
1033,5-3028
1034,3-0853
1035,1-4115
1036,4-2541
1037,4-0099
1038,7-7543
1039,4-1708
1040,6-6908
1041,6-3691
1042,8-4476
1043,5-6775
1044,1-8642
1045,3-3471
1046,1-9943
1047,7-4615
1048,5-4591
1049,6-4741
1050,5-9041
1051,7-2336
1052,1-7964
1053,6-2235
1054,1-1909
1055,6-7944
1056,3-7924
1057,4-7775
1058,3-3014
1059,6-6637
1060,7-3873
1061,5-9037
1062,1-6900
1063,5-5713
1064,3-2578
1065,4-6526
1066,2-0046
1067,1-7298
1068,8-4511
1069,3-8268
1070,6-3748
1071,5-3378
1072,7-3122
1073,8-6359
1074,1-3364
1075,5-7402
1076,3-5653
1077,3-4671
1078,5-8022
1079,2-9854
1080,3-4883
1081,2-7568
1082,3-0073
1083,5-9034
1084,4-7564
1085,8-0827
1086,1-9921
1087,4-4178
1088,8-8172
1089,8-3562
1090,2-9051
1091,1-2171
1092,1-4451
1093,8-9310
1094,7-8924
1095,7-1147
1096,8-8423
1097,6-3255
1098,7-8592
1099,4-3321
1100,5-4570
1101,2-6439
1102,7-9823
1103,2-9429
1104,3-4314
1105,3-6066
1106,1-1024
1107,7-8894
1108,4-2675
1109,4-1476
1110,6-7123
1111,1-8272
1112,6-6810
1113,1-4096
1114,6-9292
1115,5-6370
1116,2-8017
1117,7-6829
1118,5-4206
1119,6-0582
1120,5-7032
1121,2-0554
1122,2-7729
1123,3-3602
1124,8-7726
1125,1-0108
1126,5-6425
1127,8-1445
1128,3-5130
1129,5-0431
1130,5-4816
1131,4-0956
1132,4-1545
1133,8-8403
1134,3-0767
1135,8-0625
1136,1-5898
1137,2-6148
1138,2-5325
1139,6-2462
1140,7-7060
1141,6-9046
1142,2-6771
1143,1-6141
1144,6-2706
1145,6-8096
1146,7-9949
1147,8-7820
1148,8-7778
1149,5-8337
1150,1-5714
1151,8-5961
1152,1-5199
1153,6-7851
1154,6-2638
1155,7-9474
1156,1-4485
1157,8-6422
1158,6-7113
1159,2-1493
1160,2-0703
1161,2-5956
1162,2-1935
1163,8-5054
1164,2-6195
1165,6-2740
1166,8-2111
1167,2-3951
1168,3-4404
1169,7-5346
1170,2-0182
1171,1-4141
1172,8-7586
1173,8-5282
1174,7-9293
1175,3-0065
1176,4-1616
1177,7-7945
1178,3-0479
1179,8-3834
1180,1-9892
1181,2-4266
1182,5-4367
1183,7-8443
1184,7-4635
1185,3-8682
1186,8-8939
1187,3-0176
1188,5-4938
1189,7-8943
1190,6-2967
1191,4-9810
1192,4-5264
1193,6-2451
1194,4-8982
1195,4-3979
1196,3-3395
1197,2-7747
1198,5-3372
1199,3-0059
1200,1-0040
1201,8-4737
1202,4-4024
1203,8-1585
1204,4-5811
1205,7-2478
1206,8-8743
1207,1-2722
1208,5-8767
1209,1-2425
1210,7-3172
1211,1-2095
1212,1-7906
1213,8-3590
1214,4-7107
1215,7-8790
1216,6-7073
1217,7-8439
1218,7-3945
1219,7-1538
1220,2-9305
1221,3-3211
1222,1-3308
1223,4-2017
1224,8-6664
1225,2-5922
1226,4-8274
1227,6-8483
1228,7-0900
1229,4-9779
1230,1-8921
1231,1-4952
1232,6-3479
1233,3-9219
1234,3-7291
1235,1-1504
1236,3-6176
1237,1-3124
1238,4-5285
1239,4-6539
1240,2-7746
1241,3-7173
1242,5-7500
1243,4-7604
1244,3-8701
1245,4-5104
1246,1-2938
1247,1-6386
1248,6-0213
1249,6-6130
1250,7-7131
1251,2-7146
1252,6-1174
1253,4-6113
1254,3-3884
1255,6-7270
1256,1-2812
1257,7-8402
1258,6-0589
1259,2-5641
1260,1-0862
1261,5-9095
1262,8-5580
1263,1-3485
1264,2-7691
1265,6-9898
1266,4-0652
1267,5-8632
1268,4-4931
1269,6-5033
1270,3-6363
1271,3-1064
1272,8-3445
1273,5-6506
1274,8-1832
1275,8-8938
1276,6-1683
1277,6-2140
1278,1-0055
1279,6-3909
1280,1-5664
1281,3-0222
1282,3-3353
1283,8-9027
1284,2-2509
1285,8-6609
1286,8-4718
1287,3-2609
1288,1-2946
1289,6-4586
1290,4-5123
1291,1-0154
1292,7-7160
1293,5-6455
1294,4-7120
1295,8-0119
1296,6-1435
1297,7-3938
1298,4-1555
1299,2-0108
1300,6-4847
1301,1-0846
1302,3-7495
1303,1-2126
1304,5-5048
1305,1-5184
1306,6-6447
1307,7-4571
1308,4-6336
1309,4-0468
1310,5-4664
1311,8-9954
1312,2-8896
1313,7-5949
1314,7-1517
1315,1-7246
1316,4-2012
1317,8-8715
1318,6-0943
1319,8-4354
1320,3-5895
1321,6-6793
1322,2-2967
1323,3-8838
1324,8-5562
1325,1-4070
1326,4-8122
1327,7-1138
1328,3-1556
1329,4-5114
1330,8-0160
1331,8-4313
1332,8-6504
1333,5-0750
1334,1-0373
1335,2-4412
1336,3-5327
1337,8-1527
1338,2-2027
1339,8-6038
1340,6-9601
1341,8-7915
1342,4-8403
1343,3-5896
1344,6-8266
1345,3-7408
1346,5-4544
1347,1-0481
1348,1-0651
1349,4-1467
1350,4-8700
1351,3-5899
1352,3-5430
1353,1-4031
1354,2-2335
1355,6-8530
1356,5-3867
1357,4-5872
1358,5-3121
1359,3-5332
1360,5-7822
1361,3-7684
1362,1-5746
1363,6-7519
1364,5-8662
1365,5-3644
1366,3-1326
1367,3-7963
1368,2-5019
1369,8-7710
1370,5-6421
1371,1-1543
1372,3-4933
1373,6-1003
1374,6-3950
1375,7-2152
1376,8-7470
1377,8-2256
1378,1-5270
1379,8-6537
1380,2-7327
1381,5-1066
1382,7-2576
1383,5-2135
1384,4-1149
1385,8-8430
1386,8-4343
1387,3-8817
1388,4-8278
1389,3-8434
1390,6-3574
1391,2-7467
1392,3-8738
1393,6-5487
1394,4-4222
1395,4-2142
1396,5-3444
1397,1-7150
1398,6-9095
1399,1-8601
1400,4-8185
1401,8-9438
1402,6-8951
1403,7-8548
1404,8-3998
1405,8-2464
1406,1-7925
1407,6-7064
1408,8-7775
1409,2-9192
1410,1-7447
1411,2-7772
1412,3-2180
1413,4-0373
1414,7-2217
1415,7-6945
1416,2-0908
1417,1-1885
1418,6-8850
1419,7-4986
1420,4-8845
1421,8-0849
1422,1-9580
1423,2-8703
1424,4-3444
1425,8-4699
1426,2-7229
1427,3-5287
1428,5-2493
1429,3-2637
1430,6-4076
1431,8-5298
1432,8-5317
1433,5-8664
1434,4-3941
1435,6-6600
1436,5-7556
1437,4-0908
1438,6-5882
1439,5-8094
1440,7-0804
1441,3-9504
1442,1-2673
1443,5-0530
1444,7-0302
1445,3-0261
1446,8-8089
1447,7-2853
1448,4-6472
1449,3-5157
1450,7-8339
1451,8-8104
1452,4-7949
1453,6-4424
1454,6-2827
1455,6-4162
1456,6-1600
1457,3-4764
1458,1-1036
1459,2-3503
1460,5-5505
1461,5-8290
1462,1-7051
1463,2-7116
1464,8-7926
1465,7-8488
1466,5-3759
1467,5-4855
1468,8-8415
1469,3-3221
1470,6-7358
1471,8-4752
1472,2-4858
1473,4-1705
1474,5-3550
1475,4-2480
1476,6-6440
1477,5-1771
1478,5-1559
1479,4-5239
1480,3-9696
1481,6-5199
1482,3-3486
1483,1-0265
1484,4-9599
1485,5-8974
1486,4-7932
1487,6-6844
1488,1-5650
1489,6-2220
1490,6-3571
1491,1-4188
1492,1-4832
1493,1-8188
1494,8-3144
1495,8-3957
1496,6-9819
1497,8-6799
1498,2-3442
1499,8-6846
1500,8-7945
1501,5-9483
1502,1-3143
1503,5-4810
1504,8-6276
1505,3-1819
1506,7-7300
1507,8-0528
1508,8-3267
1509,2-2277
1510,5-2585
1511,8-4496
1512,5-3059
1513,1-5835
1514,5-2884
1515,7-3052
1516,3-9554
1517,7-3956
1518,2-2674
1519,2-7356
1520,7-9040
1521,8-0391
1522,4-9675
1523,1-5200
1524,2-0442
1525,4-7812
1526,7-4742
1527,5-9101
1528,6-7763
1529,1-0383
1530,7-7781
1531,4-3993
1532,2-0572
1533,2-7029
1534,6-7545
1535,8-2868
1536,2-3219
1537,7-7000
1538,2-3860
1539,1-8681
1540,8-6768
1541,6-0812
1542,8-9573
1543,2-5568
1544,1-1592
1545,7-0752
1546,2-2583
1547,4-6780
1548,8-5542
1549,5-2623
1550,4-1642
1551,5-6083
1552,6-3631
1553,8-5078
1554,3-5165
1555,5-2087
1556,2-5673
1557,5-9122
1558,3-4342
1559,1-5819
1560,7-4675
1561,4-9050
1562,6-5047
1563,1-7883
1564,4-8714
1565,2-0332
1566,2-2563
1567,5-0253
1568,5-2664
1569,4-3468
1570,5-8300
1571,1-2094
1572,1-8150
1573,2-4633
1574,4-6828
1575,7-8899
1576,7-2888
1577,5-2262
1578,7-7719
1579,8-5753
1580,8-9749
1581,8-3038
1582,2-4571
1583,5-2909
1584,1-3451
1585,8-8920
1586,4-6837
1587,4-0449
1588,4-5024
1589,8-0035
1590,6-0984
1591,7-7860
1592,2-3738
1593,4-3882
1594,7-8994
1595,2-6390
1596,1-4780
1597,2-3906
1598,6-7092
1599,5-5965
1600,2-8070
1601,6-7376
1602,1-4632
1603,3-9716
1604,6-6072
1605,1-5909
1606,2-6015
1607,4-2654
1608,7-9539
1609,7-8432
1610,1-6828
1611,4-0197
1612,4-0964
1613,5-4987
1614,3-9071
1615,3-6091
1616,8-2343
1617,2-7946
1618,2-7997
1619,6-2486
1620,8-5537
1621,1-7962
1622,1-1643
1623,2-5376
1624,1-6420
1625,6-6657
1626,5-2677
1627,6-3998
1628,2-7033
1629,3-4990
1630,3-9589
1631,4-6635
1632,5-5278
1633,1-2076
1634,2-6789
1635,4-7442
1636,3-8591
1637,6-2743
1638,8-1838
1639,1-3245
1640,1-6833
1641,6-9013
1642,8-0248
1643,1-5748
1644,7-9776
1645,6-2210
1646,4-4872
1647,4-9629
1648,1-9887
1649,3-3331
1650,7-0067
1651,7-6506
1652,5-9955
1653,4-5793
1654,8-4693
1655,2-7533
1656,2-9634
1657,7-1882
1658,7-8933
1659,4-1559
1660,4-8412
1661,1-8801
1662,6-7481
1663,8-0489
1664,1-6652
1665,2-8383
1666,7-2346
1667,5-2980
1668,1-9898
1669,2-6066
1670,3-6685
1671,3-5756
1672,2-7546
1673,1-0811
1674,2-2904
1675,7-6394
1676,1-5561
1677,6-7283
1678,6-2512
1679,5-1260
1680,7-8670
1681,2-3985
1682,7-8174
1683,8-8570
1684,2-9797
1685,4-3926
1686,4-0246
1687,3-7124
1688,7-0237
1689,1-0882
1690,5-9922
1691,1-1613
1692,5-5668
1693,6-9528
1694,4-7498
1695,5-4698
1696,5-1882
1697,4-8400
1698,3-0731
1699,5-2169
1700,7-0376
1701,4-8124
1702,5-4062
1703,3-6428
1704,5-6987
1705,1-1317
1706,7-5231
1707,3-6194
1708,3-4781
1709,4-0121
1710,5-5527
1711,5-7584
1712,3-0281
1713,5-7612
1714,3-5680
1715,8-3609
1716,3-6562
1717,3-9392
1718,6-7813
1719,5-0592
1720,8-2122
1721,4-5300
1722,2-3081
1723,5-9089
1724,5-8907
1725,1-1158
1726,3-3501
1727,7-4261
1728,7-2742
1729,7-9470
1730,8-7640
1731,7-3513
1732,8-9682
1733,6-9619
1734,1-3719
1735,3-2645
1736,2-4132
1737,2-8706
1738,1-9403
1739,8-5235
1740,3-1377
1741,1-3319
1742,3-8231
1743,1-9457
1744,1-9294
1745,7-8828
1746,6-2672
1747,3-4285
1748,3-5299
1749,2-6181
1750,7-5905
1751,3-0890
1752,8-1949
1753,1-3745
1754,4-3652
1755,6-5181
1756,7-8770
1757,2-7917
1758,8-3059
1759,4-9318
1760,7-5793
1761,5-2740
1762,5-6177
1763,1-3273
1764,1-7436
1765,8-0917
1766,2-9243
1767,3-2494
1768,1-7564
1769,3-6979
1770,4-3236
1771,3-9346
1772,3-3092
1773,1-3726
1774,1-4347
1775,2-3438
1776,1-9390
1777,3-8322
1778,5-5922
1779,1-0931
1780,3-7507
1781,7-9452
1782,2-0462
1783,3-3508
1784,4-2292
1785,6-2150
1786,8-4399
1787,3-8867
1788,5-8623
1789,1-1340
1790,2-0178
1791,8-2436
1792,2-0116
1793,5-6114
1794,1-3316
1795,5-7558
1796,8-9812
1797,8-8875
1798,5-3355
1799,7-8737
1800,1-3669
1801,8-5885
1802,5-2004
1803,4-5757
1804,3-7536
1805,4-9660
1806,3-9697
1807,3-5994
1808,7-4274
1809,2-7115
1810,2-5245
1811,7-1797
1812,3-5785
1813,4-6016
1814,7-8560
1815,4-6766
1816,7-7651
1817,4-9099
1818,5-3079
1819,3-3601
1820,7-2161
1821,1-9184
1822,2-4220
1823,5-3149
1824,7-8391
1825,5-3974
1826,1-6159
1827,2-3932
1828,8-8219
1829,5-5474
1830,5-3504
1831,8-5514
1832,2-4163
1833,2-3641
1834,6-6113
1835,8-0079
1836,1-2053
1837,4-3527
1838,3-2134
1839,4-3559
1840,8-9632
1841,4-8715
1842,3-6193
1843,4-9527
1844,2-2150
1845,1-8360
1846,2-9910
1847,3-9097
1848,3-1110
1849,1-3474
1850,4-6339
1851,4-2653
1852,7-7685
1853,2-5911
1854,4-6513
1855,6-4989
1856,5-9249
1857,7-7444
1858,3-0309
1859,7-9492
1860,6-8746
1861,8-6907
1862,8-1524
1863,5-0903
1864,5-6545
1865,6-6262
1866,8-5629
1867,8-1546
1868,6-5253
1869,3-7960
1870,8-7742
1871,2-3045
1872,2-6695
1873,2-4944
