,lead
273,4-9203
274,7-6925
275,1-8498
276,1-5130
277,5-0331
278,7-5421
279,6-4283
280,4-8801
281,7-0085
282,6-7218
283,4-6529
284,4-0872
285,5-4642
286,7-8258
287,5-7886
288,8-0008
289,8-3910
290,1-9285
291,1-9017
292,6-7479
293,4-3697
294,1-7150
295,5-0449
296,4-0946
297,6-8241
298,1-9376
299,7-0290
300,5-8609
301,1-3612
302,8-8629
303,3-8706
304,7-3218
305,3-3066
306,6-5423
307,1-9024
308,1-1106
309,3-1096
310,3-9437
311,3-7142
312,1-8254
313,8-7719
314,2-0083
315,1-3933
316,3-4582
317,6-3245
318,7-6805
319,5-6592
320,4-8004
321,7-3923
322,2-2273
323,5-0725
324,1-3070
325,8-9617
326,7-0954
327,3-9718
328,4-7630
329,5-4241
330,8-8059
331,7-7127
332,8-1286
333,6-3048
334,6-1613
335,6-7808
336,3-3182
337,1-6686
338,7-0449
339,8-0777
340,7-1470
341,2-3594
342,7-9152
343,4-7533
344,8-7062
345,5-2485
346,8-6316
347,7-2449
348,6-7785
349,8-3109
350,6-5518
351,2-4000
352,6-1624
353,2-1941
354,5-3517
355,5-2504
356,4-7720
357,4-3987
358,5-8120
359,8-6930
360,5-6650
361,1-0294
362,2-6989
363,7-3725
364,1-4122
365,2-8913
366,2-4323
367,4-5434
368,4-9951
369,2-8884
370,3-1561
371,5-7650
372,6-1505
373,5-4867
374,8-0257
375,8-6375
376,3-9056
377,6-1143
378,2-3235
379,1-9270
380,8-5152
381,1-0595
382,1-9784
383,3-9806
384,1-6128
385,5-6123
386,3-1621
387,7-6833
388,3-9280
389,7-7130
390,2-9665
391,1-0582
392,2-5503
393,2-1664
394,8-1032
395,5-6341
396,8-7628
397,7-6853
398,3-3353
399,4-1652
400,4-1557
401,8-5617
402,1-4584
403,8-3423
404,8-9710
405,4-3011
406,4-8889
407,3-3120
408,2-6726
409,3-0386
410,6-7340
411,1-9620
412,8-7069
413,2-6441
414,6-4127
415,4-6750
416,1-7146
417,5-9296
418,2-6206
419,3-1210
420,5-4471
421,1-0109
422,2-6338
423,6-7848
424,8-4240
425,1-2887
426,2-9582
427,6-7519
428,5-6904
429,6-6576
430,2-4390
431,8-9010
432,7-1227
433,2-4585
434,2-4253
435,1-4357
436,4-8899
437,4-6847
438,2-2185
439,6-4509
440,8-5704
441,1-6942
442,1-2672
443,6-9910
444,7-6804
445,8-5712
446,6-8443
447,5-0119
448,4-1162
449,5-5272
450,6-2410
451,6-2244
452,2-4592
453,1-8492
454,5-7005
455,8-9367
456,5-4401
457,8-4596
458,1-5282
459,1-3069
460,5-9723
461,3-5959
462,1-0825
463,8-8746
464,8-3068
465,7-0309
466,1-1333
467,5-1585
468,1-9390
469,4-5734
470,7-7469
471,2-3739
472,4-2684
473,2-3940
474,5-5365
475,7-5395
476,7-0630
477,3-2408
478,1-6216
479,1-1806
480,5-4297
481,4-5683
482,3-5783
483,4-6087
484,5-3829
485,1-0712
486,7-4946
487,7-9839
488,2-0977
489,3-3618
490,2-7194
491,2-6875
492,4-9569
493,8-4292
494,7-3702
495,1-6991
496,2-7526
497,4-9143
498,3-3344
499,3-0114
500,7-1286
501,5-4953
502,2-6828
503,4-4466
504,5-7814
505,6-8059
506,5-5572
507,6-2099
508,3-9281
509,4-4345
510,3-9200
511,6-6256
512,8-4220
513,7-8427
514,7-7613
515,7-1699
516,7-0264
517,3-6502
518,4-2287
519,8-4889
520,3-8373
521,1-8396
522,5-9355
523,1-0495
524,4-6403
525,4-0799
526,6-3103
527,5-6196
528,6-5594
529,6-4207
530,5-1899
531,8-5193
532,3-7957
533,4-1523
534,2-6719
535,7-8922
536,4-3738
537,6-7211
538,6-2450
539,8-4877
540,3-8013
541,2-9113
542,2-1705
543,6-8255
544,3-8891
545,8-7880
546,5-5182
547,4-7940
548,3-3635
549,2-3737
550,7-4962
551,4-1952
552,6-1381
553,1-3210
554,6-6411
555,6-2337
556,7-4509
557,1-9767
558,7-3579
559,8-4949
560,2-5440
561,1-5672
562,3-2821
563,3-2876
564,8-2744
565,5-9668
566,7-1801
567,1-3461
568,2-8260
569,7-4977
570,3-1610
571,8-9413
572,5-7855
573,4-8683
574,5-4506
575,7-4937
576,8-2813
577,5-6061
578,8-7585
579,1-0609
580,5-1993
581,2-7002
582,1-4639
583,4-4100
584,4-8703
585,8-9765
586,1-6712
587,5-6287
588,4-2792
589,5-0863
590,2-0661
591,5-9671
592,1-0786
593,4-7717
594,8-5363
595,6-3536
596,7-7241
597,2-6055
598,4-7027
599,7-0022
600,8-9307
601,6-4419
602,1-2316
603,5-8042
604,2-5515
605,5-1934
606,6-0324
607,6-1021
608,2-0995
609,5-2404
610,4-0973
611,4-3686
612,3-0632
613,1-8914
614,5-3339
615,4-2532
616,1-5714
617,8-6576
618,4-0791
619,5-0324
620,8-4156
621,5-1377
622,6-4411
623,4-3756
624,5-2398
625,7-9670
626,2-2189
627,8-5783
628,4-8164
629,2-7821
630,7-3516
631,4-1152
632,2-6632
633,3-5842
634,5-8322
635,5-6015
636,2-6971
637,3-3156
638,2-4007
639,5-1236
640,5-9585
641,2-8593
642,5-5249
643,5-2492
644,7-6829
645,6-8138
646,7-1912
647,2-0129
648,2-1278
649,4-0600
650,3-1046
651,4-4643
652,8-6876
653,3-1981
654,3-2869
655,3-5181
656,2-5864
657,1-7306
658,2-6948
659,1-7087
660,4-6948
661,6-6962
662,1-8661
663,4-7309
664,1-7557
665,3-1095
666,2-7491
667,1-7139
668,4-8622
669,1-8877
670,1-6281
671,8-2024
672,2-0612
673,3-3165
674,6-7081
675,3-2178
676,6-2077
677,6-8392
678,1-0426
679,7-2613
680,6-5547
681,7-3683
682,3-3776
683,3-2922
684,6-4533
685,6-5552
686,6-5290
687,1-2340
688,7-1833
689,1-9789
690,4-4549
691,1-0397
692,4-1406
693,8-5416
694,3-7401
695,5-5130
696,8-6369
697,6-7050
698,1-9475
699,4-5455
700,3-7973
701,6-7968
702,4-7359
703,3-3699
704,2-3453
705,1-0132
706,5-0198
707,8-0324
708,2-9279
709,6-5905
710,4-6333
711,8-8815
712,7-8553
713,2-2360
714,3-8060
715,5-1872
716,3-7379
717,1-7195
718,8-3585
719,5-6182
720,4-0065
721,5-2161
722,5-9126
723,7-3363
724,6-6465
725,5-7231
726,5-2287
727,2-2523
728,3-3689
729,8-6139
730,6-1528
731,8-5071
732,3-4492
733,4-1552
734,8-8084
735,8-3118
736,8-3059
737,8-1058
738,2-5274
739,8-7830
740,5-7127
741,5-0167
742,7-2724
743,1-3485
744,7-4016
745,7-1703
746,3-0315
747,6-9659
748,4-6149
749,2-2632
750,3-5661
751,7-1905
752,8-1438
753,2-1275
754,6-3701
755,3-0475
756,7-1888
757,2-0863
758,8-8148
759,1-2176
760,4-3772
761,8-9683
762,3-2461
763,4-2180
764,8-4563
765,3-0501
766,6-0944
767,2-3210
768,7-6016
769,3-8171
770,3-9087
771,3-8311
772,1-2217
773,8-5170
774,7-7443
775,4-3417
776,7-4546
777,3-8223
778,2-3963
779,1-2901
780,3-0044
781,2-5854
782,1-2051
783,2-8325
784,4-6892
785,6-3014
786,5-1977
787,2-3294
788,1-3298
789,7-1144
790,1-7397
791,6-9993
792,5-4228
793,1-1838
794,2-0687
795,6-2548
796,6-0894
797,5-8891
798,2-8020
799,3-0540
800,1-1261
801,3-3633
802,3-1819
803,8-0951
804,3-1605
805,6-5218
806,8-6915
807,1-3327
808,5-7097
809,6-4680
810,2-2484
811,6-1507
812,7-8637
813,6-1124
814,1-1102
815,2-7810
816,3-8048
817,5-0235
818,2-0849
819,6-8136
820,4-5112
821,7-1971
822,8-8338
823,2-2635
824,6-9750
825,1-3489
826,2-2304
827,7-9010
828,2-2709
829,5-1124
830,5-7399
831,8-0411
832,3-6193
833,6-0896
834,6-5165
835,6-8441
836,5-3673
837,5-4766
838,4-6282
839,6-0071
840,3-7228
841,2-9971
842,5-5786
843,7-7611
844,5-0638
845,1-5890
846,4-5133
847,8-6037
848,5-9545
849,5-3267
850,2-4658
851,8-4538
852,6-4222
853,2-3600
854,6-2932
855,7-2027
856,3-8739
857,5-9002
858,4-3768
859,7-9906
860,4-1368
861,1-4667
862,2-0544
863,8-7692
864,1-9299
865,5-1537
866,5-5341
867,1-9057
868,5-0575
869,6-1991
870,3-2193
871,7-7292
872,6-3190
873,1-3945
874,4-1342
875,3-2738
876,3-7458
877,4-0178
878,6-0964
879,7-1276
880,6-5236
881,1-8042
882,8-1174
883,8-6797
884,8-7871
885,6-4089
886,1-6880
887,1-0770
888,5-8505
889,5-9817
890,3-4137
891,8-5562
892,6-6946
893,1-6310
894,1-3972
895,1-6673
896,4-3359
897,8-0551
898,6-9082
899,2-9148
900,8-3993
901,1-6029
902,2-6104
903,1-4685
904,4-5091
905,5-1546
906,7-4780
907,7-7596
908,3-9037
909,8-6954
910,5-8419
911,7-7809
912,7-7070
913,4-2418
914,7-8111
915,8-0987
916,6-7162
917,1-7974
918,2-3381
919,3-3032
920,6-5180
921,1-3243
922,1-1672
923,4-2739
924,4-1798
925,1-1548
926,2-4759
927,7-1036
928,7-7353
929,8-9215
930,4-4877
931,1-5223
932,4-7019
933,5-2037
934,2-2117
935,6-6244
936,4-4332
937,7-6426
938,7-2286
939,3-0513
940,3-7948
941,2-5629
942,7-1223
943,4-3156
944,1-3787
945,3-9074
946,5-1045
947,1-2591
948,2-2738
949,4-8518
950,6-3357
951,4-1702
952,7-2579
953,6-1121
954,8-5388
955,5-5652
956,5-3317
957,8-3080
958,4-4802
959,3-5981
960,4-5296
961,8-7779
962,6-0316
963,4-6837
964,5-0920
965,7-8494
966,8-9003
967,6-2776
968,1-0344
969,3-0557
970,5-4502
971,8-8074
972,4-8888
973,5-8351
974,8-1196
975,3-5987
976,2-5621
977,4-2941
978,6-0916
979,4-1025
980,1-7998
981,1-3003
982,2-2802
983,5-7768
984,5-8879
985,7-6153
986,2-0214
987,1-7835
988,3-5516
989,4-9185
990,3-1572
991,2-5845
992,1-6107
993,3-0334
994,1-2671
995,7-1371
996,4-5313
997,1-0171
998,8-8778
999,7-4493
1000,5-9835
1001,2-5432
1002,5-7315
1003,8-8961
1004,8-3878
1005,4-8847
1006,6-3432
1007,6-7656
1008,3-5800
1009,1-9983
1010,4-4578
1011,8-2935
1012,6-3022
1013,5-4130
1014,7-8386
1015,3-2300
1016,1-4041
1017,5-4288
1018,7-8356
1019,8-7342
1020,4-1283
1021,1-0768
1022,6-5282
1023,7-6545
1024,4-2938
1025,4-6658
1026,8-1455
1027,7-9464
1028,3-7414
1029,8-3381
1030,2-7832
1031,4-9549
1032,6-7701
1033,2-3947
1034,4-4498
1035,8-8493
1036,7-0123
1037,4-5383
1038,5-4307
1039,8-0883
1040,1-6321
1041,7-2172
1042,3-8404
1043,6-9613
1044,7-3284
1045,6-9768
1046,5-7029
1047,7-0830
1048,7-7500
1049,1-8112
1050,3-6167
1051,4-1603
1052,7-6532
1053,4-2336
1054,2-9533
1055,3-3952
1056,1-3321
1057,2-0079
1058,1-2354
1059,7-4732
1060,1-1167
1061,8-3066
1062,5-9670
1063,1-1029
1064,1-5235
1065,8-7610
1066,3-6787
1067,6-0584
1068,7-7781
1069,3-4466
1070,4-4780
1071,1-3807
1072,2-0832
1073,3-6685
1074,7-3974
1075,3-5438
1076,4-1267
1077,8-5674
1078,8-5915
1079,3-6758
1080,7-9272
1081,4-3325
1082,8-0881
1083,3-8837
1084,8-8985
1085,5-6176
1086,1-0254
1087,2-2480
1088,8-7307
1089,3-8702
1090,8-0247
1091,7-1795
1092,1-5911
1093,3-9141
1094,3-8637
1095,3-8020
1096,2-7527
1097,4-4449
1098,4-1812
1099,5-4261
1100,6-9399
1101,7-0298
1102,2-6419
1103,8-4547
1104,3-0283
1105,3-2610
1106,1-9879
1107,2-4480
1108,1-6405
1109,7-8437
1110,6-2414
1111,1-5296
1112,5-6258
1113,4-3581
1114,8-8582
1115,3-0234
1116,1-1032
1117,6-2019
1118,3-7672
1119,3-3052
1120,5-8456
1121,5-4349
1122,5-7602
1123,5-6345
1124,1-6878
1125,2-6585
1126,4-5290
1127,6-4436
1128,4-2811
1129,7-7472
1130,1-1256
1131,5-9931
1132,4-0828
1133,1-9984
1134,7-0079
1135,3-6371
1136,4-3771
1137,4-4018
1138,1-5041
1139,5-7540
1140,7-0512
1141,2-2942
1142,5-8911
1143,4-8091
1144,4-0279
1145,7-7081
1146,5-1433
1147,8-1386
1148,6-6831
1149,7-2876
1150,5-5605
1151,7-1927
1152,2-1498
1153,1-4415
1154,7-5553
1155,8-2313
1156,1-7487
1157,8-2201
1158,6-6145
1159,3-1452
1160,1-0220
1161,5-4689
1162,4-8133
1163,1-8274
1164,3-2346
1165,8-0196
1166,6-4581
1167,4-6928
1168,5-8308
1169,2-0426
1170,4-4671
1171,8-3364
1172,5-5353
1173,5-6067
1174,6-4973
1175,2-4707
1176,6-9858
1177,5-0592
1178,5-8270
1179,6-5534
1180,2-4637
1181,4-5938
1182,4-1487
1183,8-1172
1184,6-1135
1185,6-9934
1186,3-4146
1187,4-8973
1188,8-4394
1189,4-0180
1190,6-2613
1191,8-4444
1192,3-3751
1193,2-4429
1194,5-4649
1195,7-3649
1196,2-7572
1197,2-6642
1198,7-7215
1199,4-8114
1200,3-2404
1201,1-3330
1202,1-2885
1203,6-0424
1204,2-9872
1205,3-1014
1206,7-7397
1207,4-2206
1208,3-1908
1209,2-3551
1210,4-2271
1211,5-6009
1212,8-7109
1213,5-1996
1214,8-6180
1215,6-0438
1216,8-7205
1217,2-0957
1218,7-0647
1219,1-1343
1220,4-1547
1221,6-6648
1222,4-4909
1223,6-4280
1224,1-4402
1225,7-5616
1226,8-5203
1227,6-7396
1228,8-7852
1229,2-2501
1230,4-6634
1231,1-5951
1232,4-1776
1233,1-7956
1234,8-2721
1235,4-1105
1236,4-2116
1237,5-8954
1238,2-7860
1239,5-3012
1240,7-5505
1241,4-5843
1242,5-1206
1243,8-0111
1244,8-7590
1245,7-1165
1246,6-2354
1247,2-0486
1248,1-6743
1249,6-7983
1250,1-1040
1251,2-8552
1252,3-3726
1253,1-6946
1254,8-6913
1255,2-2435
1256,3-7971
1257,3-8946
1258,4-0417
1259,5-2627
1260,1-6235
1261,4-1510
1262,8-1879
1263,8-7537
1264,2-9938
1265,4-4076
1266,5-1153
1267,3-0106
1268,7-2657
1269,3-3847
1270,7-7664
1271,2-7434
1272,3-4750
1273,7-8287
1274,4-4809
1275,7-9675
1276,2-7120
1277,2-2625
1278,5-7614
1279,2-3169
1280,7-2417
1281,7-0605
1282,4-3693
1283,6-0578
1284,4-0621
1285,6-5114
1286,3-8987
1287,8-6755
1288,8-3884
1289,5-2538
1290,4-4608
1291,1-4614
1292,5-2860
1293,7-2827
1294,1-4498
1295,6-5537
1296,4-6275
1297,1-0184
1298,6-8158
1299,8-0797
1300,6-3973
1301,2-8613
1302,8-8925
1303,7-3302
1304,2-9195
1305,6-6447
1306,7-6268
1307,4-7590
1308,1-5005
1309,7-0663
1310,1-3503
1311,5-2148
1312,7-5779
1313,1-7923
1314,1-5741
1315,3-4359
1316,4-2122
1317,8-4211
1318,5-8650
1319,1-1918
1320,3-1953
1321,1-6375
1322,7-5119
1323,1-6988
1324,5-1343
1325,8-9476
1326,7-0561
1327,1-7321
1328,8-2896
1329,2-3472
1330,2-3374
1331,7-7933
1332,2-4209
1333,6-9972
1334,5-8092
1335,1-3316
1336,8-9070
1337,7-4003
1338,6-2736
1339,5-1897
1340,6-4732
1341,4-1633
1342,2-3118
1343,6-1047
1344,4-9323
1345,6-2374
1346,1-1131
1347,1-3403
1348,6-2445
1349,1-9608
1350,5-4995
1351,6-2921
1352,6-4159
1353,2-7417
1354,5-2043
1355,3-0098
1356,1-3739
1357,7-3761
1358,2-0630
1359,8-2141
1360,5-5754
1361,6-9340
1362,7-7634
1363,1-3502
1364,4-0079
1365,4-4396
1366,6-8497
1367,8-5141
1368,3-9082
1369,3-6745
1370,2-1312
1371,4-0051
1372,4-7654
1373,4-2306
1374,5-6969
1375,4-4009
1376,3-3271
1377,6-7969
1378,4-6630
1379,7-9966
1380,8-0372
1381,8-3082
1382,5-3831
1383,8-2977
1384,7-7655
1385,3-4209
1386,7-7390
1387,5-2374
1388,5-5338
1389,8-0845
1390,3-8292
1391,3-9391
1392,7-6663
1393,1-6769
1394,2-5930
1395,2-3794
1396,5-4226
1397,5-4722
1398,5-8512
1399,8-8211
1400,4-5161
1401,4-6306
1402,4-5078
1403,1-7423
1404,8-2246
1405,2-2520
1406,7-0356
1407,6-8318
1408,2-4714
1409,4-1453
1410,1-9183
1411,8-2507
1412,6-8835
1413,4-0743
1414,1-7934
1415,3-8542
1416,6-2341
1417,2-7482
1418,8-3237
1419,6-3126
1420,2-8326
1421,1-6472
1422,8-5552
1423,5-4693
1424,5-2011
1425,1-6666
1426,6-6638
1427,4-1027
1428,4-8785
1429,8-9403
1430,8-2695
1431,3-6375
1432,6-7502
1433,1-2095
1434,3-1918
1435,6-5987
1436,3-6217
1437,8-4364
1438,1-0920
1439,5-9227
1440,7-7158
1441,1-6844
1442,5-3029
1443,2-7521
1444,6-2247
1445,5-1391
1446,5-5223
1447,6-6550
1448,6-8232
1449,6-6692
1450,3-1271
1451,2-8885
1452,7-7677
1453,2-6696
1454,6-9534
1455,8-3206
1456,3-2248
1457,2-4566
1458,7-4511
1459,8-2537
1460,4-5935
1461,3-0186
1462,7-7600
1463,3-3053
1464,6-0473
1465,8-7464
1466,2-1726
1467,3-9724
1468,5-7656
1469,5-6213
1470,1-8349
1471,1-5734
1472,2-5280
1473,2-3465
1474,3-3794
1475,2-0880
1476,5-6742
1477,5-7377
1478,1-8014
1479,4-2790
1480,7-1167
1481,4-5716
1482,1-7130
1483,7-9834
1484,3-6843
1485,2-8461
1486,3-0792
1487,8-0081
1488,5-1133
1489,3-9671
1490,2-1830
1491,2-4181
1492,5-4582
1493,4-2710
1494,8-8238
1495,4-7604
1496,7-4999
1497,7-6607
1498,8-1181
1499,8-1894
1500,6-0096
1501,3-5519
1502,8-6379
1503,7-4486
1504,1-6576
1505,7-3371
1506,3-7049
1507,6-0645
1508,6-5748
1509,8-5080
1510,3-6620
1511,4-2698
1512,7-8279
1513,3-0865
1514,3-9768
1515,6-1674
1516,1-9053
1517,3-2218
1518,2-2583
1519,2-0386
1520,8-1482
1521,3-7671
1522,6-5513
1523,7-6083
1524,8-3854
1525,8-0379
1526,6-7202
1527,4-2639
1528,2-8555
1529,3-5995
1530,6-1133
1531,8-7995
1532,3-2707
1533,4-0346
1534,2-2821
1535,8-1001
1536,8-9092
1537,3-6702
1538,1-9824
1539,5-8950
1540,3-7363
1541,2-4177
1542,4-6280
1543,8-3179
1544,1-9465
1545,8-3013
1546,4-0741
1547,2-1702
1548,6-9994
1549,8-7214
1550,1-6168
1551,3-1909
1552,7-6274
1553,4-7502
1554,5-3048
1555,8-2850
1556,1-1382
1557,5-8778
1558,2-6347
1559,1-0097
1560,2-8391
1561,1-2827
1562,6-7230
1563,3-7741
1564,7-1889
1565,5-6092
1566,1-6858
1567,3-7599
1568,7-1503
1569,8-4412
1570,3-1137
1571,8-2714
1572,1-2410
1573,8-1506
1574,1-7513
1575,5-0945
1576,8-1726
1577,7-9307
1578,7-6254
1579,5-4238
1580,2-2430
1581,1-7954
1582,4-2162
1583,7-7920
1584,7-7143
1585,3-5635
1586,6-6535
1587,8-3063
1588,7-8331
1589,4-9942
1590,8-6611
1591,3-3617
1592,3-4252
1593,8-8938
1594,3-6487
1595,4-6105
1596,7-2910
1597,3-0565
1598,8-1968
1599,3-7775
1600,5-1048
1601,8-0329
1602,6-1942
1603,5-2340
1604,8-3796
1605,5-3597
1606,5-3417
1607,7-2633
1608,6-8663
1609,6-8271
1610,7-2665
1611,5-1912
1612,7-3096
1613,5-5999
1614,1-3627
1615,3-4059
1616,3-4387
1617,7-8285
1618,8-1524
1619,3-5275
1620,1-6586
1621,6-2411
1622,8-7594
1623,1-0527
1624,3-0165
1625,1-2812
1626,2-7298
1627,5-6626
1628,4-5931
1629,3-1575
1630,7-8359
1631,4-3346
1632,7-7419
1633,5-4773
1634,2-8650
1635,6-6031
1636,5-3145
1637,1-9644
1638,6-1925
1639,2-2600
1640,6-1197
1641,1-0430
1642,4-0537
1643,5-4355
1644,3-4668
1645,7-9264
1646,7-4461
1647,5-8343
1648,1-2235
1649,4-5832
1650,8-3671
1651,2-0393
1652,8-6103
1653,2-9922
1654,3-4811
1655,4-2038
1656,3-1514
1657,2-0492
1658,3-1133
1659,4-9793
1660,1-9090
1661,7-6120
1662,5-2337
1663,2-7447
1664,7-7840
1665,6-8733
1666,4-8386
1667,4-9703
1668,8-1898
1669,6-7203
1670,6-5380
1671,7-2702
1672,5-2271
1673,3-8781
1674,8-3139
1675,1-1973
1676,7-1660
1677,1-1202
1678,8-6183
1679,8-5997
1680,5-0879
1681,7-9980
1682,5-2256
1683,1-2553
1684,2-6022
1685,4-4683
1686,7-5878
1687,5-7479
1688,7-5966
1689,5-9322
1690,6-1775
1691,1-3122
1692,4-8853
1693,1-3883
1694,2-3190
1695,8-8703
1696,8-5308
1697,3-4074
1698,8-0441
1699,7-2569
1700,1-0107
1701,5-9301
1702,6-1945
1703,4-8807
1704,4-2527
1705,3-7358
1706,1-8099
1707,2-1123
1708,2-0041
1709,1-6839
1710,3-4531
1711,5-4847
1712,5-5042
1713,5-8591
1714,4-0202
1715,7-6825
1716,5-4398
1717,6-5475
1718,1-8730
1719,6-4397
1720,2-0750
1721,4-7490
1722,7-2297
1723,8-5379
1724,5-3150
1725,6-5048
1726,3-0856
1727,4-9540
1728,1-7402
1729,1-6242
1730,5-8161
1731,7-2720
1732,2-3082
1733,6-1545
1734,4-9360
1735,8-9052
1736,7-7665
1737,4-8421
1738,4-0481
1739,1-0098
1740,8-3807
1741,5-4359
1742,4-8824
1743,4-5010
1744,5-7657
1745,2-6707
1746,2-3715
1747,1-6863
1748,6-0469
1749,4-6450
1750,7-8138
1751,6-6099
1752,3-8178
1753,5-6165
1754,7-3911
1755,3-2187
1756,1-1472
1757,1-3162
1758,2-1861
1759,6-8359
1760,4-7135
1761,4-6776
1762,5-6605
1763,7-5752
1764,3-7997
1765,2-7411
1766,3-9810
1767,5-7648
1768,2-3974
1769,2-9446
1770,4-9140
1771,8-8610
1772,5-4459
1773,3-3765
1774,6-9713
1775,4-8709
1776,2-8368
1777,7-1262
1778,1-3984
1779,5-6324
1780,4-8241
1781,4-3274
1782,8-8592
1783,5-4666
1784,7-3187
1785,8-1496
1786,7-1249
1787,4-2619
1788,3-9726
1789,8-1328
1790,1-0233
1791,6-9057
1792,6-3488
1793,7-0803
1794,5-4713
1795,5-7287
1796,3-1934
1797,2-4523
1798,8-6036
1799,3-0740
1800,6-5422
1801,3-2488
1802,2-3375
1803,8-4403
1804,3-5961
1805,7-1919
1806,5-9879
1807,8-4553
1808,6-3929
1809,6-1749
1810,6-1716
1811,5-0467
1812,4-5786
1813,1-3731
1814,2-2630
1815,5-8447
1816,1-3625
1817,8-0035
1818,7-4182
1819,6-3901
1820,7-0384
1821,5-4509
1822,1-3733
1823,2-0170
1824,1-0301
1825,7-3595
1826,3-7214
1827,5-5284
1828,8-5872
1829,5-8801
1830,6-8054
1831,5-9590
1832,7-9894
1833,1-5988
1834,4-8334
1835,7-2330
1836,5-7804
1837,2-5668
1838,2-4990
1839,3-9490
1840,5-1860
1841,1-9226
1842,2-5731
1843,7-2138
1844,5-5404
1845,1-5632
1846,3-7258
1847,3-4654
1848,1-7995
1849,7-8296
1850,7-1240
1851,5-1072
1852,2-1332
1853,7-9585
1854,4-3277
1855,1-2043
1856,4-7296
1857,5-3251
1858,6-2577
1859,4-3084
1860,7-3274
1861,3-1720
1862,3-9903
1863,8-9420
1864,3-8324
1865,6-7403
1866,2-7105
1867,2-1335
1868,1-4915
1869,8-3227
1870,1-5088
1871,1-2695
1872,1-7256
1873,8-3021
